title,subtitle,artist,img_link,year
Altarpiece of Saint Michael (left side panels),Tempera on panel,Master Of Arguis,https://content3.cdnprado.net/imagenes/Documentos/imgsem/a4/a427/a4278165-c290-4217-a29d-3344b1ae48e8/2ad4ae10-4edc-411a-93ad-bb04ec5097e2_268.jpg,1440
Altarpiece of Saint Michael (right side panels),Tempera on panel,Master Of Arguis,https://content3.cdnprado.net/imagenes/Documentos/imgsem/55/55c7/55c70dd0-ee6b-472e-8764-890a57197dd1/cc8eac80-bf36-453b-a3fb-383dba952070_268.jpg,1440
Saint John the Baptist and the Franciscan Heinrich von Werl,Oil on oak panel,"Campin, Robert",https://content3.cdnprado.net/imagenes/Documentos/imgsem/28/28b9/28b9fdc8-467b-4528-8eba-de91581ccad5/c7bab894-92fb-453c-bfea-57edcec77f41_268.jpg,1438
Saint Barbara,Oil on oak panel,"Campin, Robert",https://content3.cdnprado.net/imagenes/Documentos/imgsem/f2/f21c/f21cfe3c-9f74-4b9c-bc10-f59d7a721d4d/d6e675cb-679a-407c-a475-a4889ac6e078_268.jpg,1438
Triptych of the Life of the Virgin,Oil on panel,"Bouts, Dirk",https://content3.cdnprado.net/imagenes/Documentos/imgsem/ed/ed28/ed28d5db-1f03-441e-bbc4-010786805dde/be39209a-4a17-467b-bb78-def79d5bfc97_268.jpg,1445
The Fountain of Grace,Oil on panel,"Eyck, Jan Van (Workshop Of)",https://content3.cdnprado.net/imagenes/Documentos/imgsem/f5/f578/f578c5af-b1d6-4ef8-aaa3-ae05a6dd2393/32b706d9-2aa1-4fa8-8cbb-e34bee8b4f91_268.jpg,1450
Pietà,Oil on panel,"Weyden, Rogier Van Der (Workshop Of)",https://content3.cdnprado.net/imagenes/Documentos/imgsem/cd/cd09/cd093d63-f134-497a-b15b-3fb787f1f7ec/14eb9c35-58e0-44c9-bb33-3bdff29f348f_268.jpg,1450
Triptych of the Redemption: The Crucifixion,Oil on panel,Master Of The Prado Redemption,https://content3.cdnprado.net/imagenes/Documentos/imgsem/06/06c4/06c4c300-1fa8-48d7-b63b-047c64882626/51488e81-99b1-4814-bcca-f53688da8f2a_268.jpg,1450
Triptych of the Redemption: The Expulsion of Adam and...,Oil on panel,Master Of The Prado Redemption,https://content3.cdnprado.net/imagenes/Documentos/imgsem/34/3402/340227fe-b880-4cae-8544-de902d02a4b0/cc62df4f-0057-4ef3-ace7-7f92bbb6ec19_268.jpg,1450
Triptych of the Redemption: Tribute to Caesar (Jesus and an...,"Grisaille, Oil on panel",Master Of The Prado Redemption,https://content3.cdnprado.net/imagenes/Documentos/imgsem/f3/f369/f3697350-6730-4018-b070-560a59d3ca0b/33230fac-6706-486f-9609-6a096e585b78_268.jpg,1450
Triptych of the Redemption: Last Judgement,Oil on panel,Master Of The Prado Redemption,https://content3.cdnprado.net/imagenes/Documentos/imgsem/5d/5dec/5dec2206-49ea-43e8-9852-bc4caad4f80c/34baaa96-4245-4240-9976-054cbef6fc65_268.jpg,1450
Triptych of the Redemption: Tribute to Caesar,"Grisaille, Oil on panel",Master Of The Prado Redemption,https://content3.cdnprado.net/imagenes/Documentos/imgsem/6f/6f57/6f57cd8e-e0cd-409a-9002-100029c70481/36c2a479-3d43-4f6c-a96a-28376dfac5ff_268.jpg,1450
