title,subtitle,artist,img_link,year,img_name
The Arrest of Saint John the Baptist,"Oil, Tempera on panel","Segovia, Juan de",https://content3.cdnprado.net/imagenes/Documentos/imgsem/9c/9c44/9c44502b-00cb-4007-a2ac-e728ac769a91/b6894950-10cf-4ac4-842e-d1585b4d4ef3_268.jpg,1500,b6894950-10cf-4ac4-842e-d1585b4d4ef3_268.jpg
The Beheading of Saint John the Baptist,"Oil, Tempera on panel","Segovia, Juan de",https://content3.cdnprado.net/imagenes/Documentos/imgsem/1a/1a53/1a539971-61dd-45f1-8215-a100c7befea6/5c9792a6-6cf8-44d6-9502-037b46020d17_268.jpg,1500,5c9792a6-6cf8-44d6-9502-037b46020d17_268.jpg
The Garden of Earthly Delights Triptych,"Grisaille, Oil on oak panel","Bosch, Hieronymus",https://content3.cdnprado.net/imagenes/Documentos/imgsem/02/0238/02388242-6d6a-4e9e-a992-e1311eab3609/595dc946-f69f-4b8d-9a44-bad39d88b3e9_268.jpg,1500,595dc946-f69f-4b8d-9a44-bad39d88b3e9_268.jpg
Saint Francis,Oil on poplar panel,"Francia, Francesco",https://content3.cdnprado.net/imagenes/Documentos/imgsem/58/58e3/58e37676-5b04-4af6-a5a9-4510392314e4/dd7f93ca-3a35-43d1-947b-3317302718c3_268.jpg,1495,dd7f93ca-3a35-43d1-947b-3317302718c3_268.jpg
Saint Dominic and the Albigensians,Oil on panel,"Berruguete, Pedro",https://content3.cdnprado.net/imagenes/Documentos/imgsem/81/8159/8159c487-73ed-48ba-be82-591b40b843ba/b16351a2-0979-4ad4-8fe9-1641f2f9fd63_268.jpg,1499,b16351a2-0979-4ad4-8fe9-1641f2f9fd63_268.jpg
Saint Dominic resurrects a Boy,Oil on panel,"Berruguete, Pedro",https://content3.cdnprado.net/imagenes/Documentos/imgsem/c4/c4d8/c4d829ad-2964-47bb-a03a-e49818b9556b/f2a6c45b-9fde-4f47-b211-ebb40d43ebcb_268.jpg,1499,f2a6c45b-9fde-4f47-b211-ebb40d43ebcb_268.jpg
Saint Peter the Martyr praying,Oil on panel,"Berruguete, Pedro",https://content1.cdnprado.net/imagenes/Documentos/imgsem/47/4796/479643dc-4c03-4ede-910a-38b079aa8305/1cbb6489-704d-4410-a062-44aefdab6022_268.jpg,1499,1cbb6489-704d-4410-a062-44aefdab6022_268.jpg
The Miracle of the Cloud,Oil on panel,"Berruguete, Pedro",https://content3.cdnprado.net/imagenes/Documentos/imgsem/77/77de/77defe17-72d0-4800-aa29-30229b543c69/71d1923e-55b3-4755-80e9-bfe7f1cac33b_268.jpg,1499,71d1923e-55b3-4755-80e9-bfe7f1cac33b_268.jpg
Death of Saint Peter Martyr,Oil on panel,"Berruguete, Pedro",https://content3.cdnprado.net/imagenes/Documentos/imgsem/c9/c960/c960b984-0215-430f-9afd-030796585eba/716fc20e-7196-485a-9578-84f3930609a8_268.jpg,1499,716fc20e-7196-485a-9578-84f3930609a8_268.jpg
Adoration of the Tomb of Saint Peter Martyr,Oil on panel,"Berruguete, Pedro",https://content3.cdnprado.net/imagenes/Documentos/imgsem/dd/ddec/ddec3d74-9e1e-456f-8653-9b46491a86b7/ff7b3dec-ec9b-42d5-afca-5d3af9a074a3_268.jpg,1499,ff7b3dec-ec9b-42d5-afca-5d3af9a074a3_268.jpg
Apparition of the Virgin to a Community of Dominicans,Oil on panel,"Berruguete, Pedro",https://content3.cdnprado.net/imagenes/Documentos/imgsem/4b/4bd0/4bd0bea0-25f4-4ab0-894f-aabf746ae1c6/a6ded53a-f798-4e91-9f1a-b975ca2e0c3f_268.jpg,1499,a6ded53a-f798-4e91-9f1a-b975ca2e0c3f_268.jpg
Saint Dominic,Oil on panel,"Berruguete, Pedro",https://content3.cdnprado.net/imagenes/Documentos/imgsem/2e/2e9f/2e9faf04-90cf-4973-b253-c77c53dd1ccf/f450ccb9-2973-442a-89a4-fa54eeeedd20_268.jpg,1499,f450ccb9-2973-442a-89a4-fa54eeeedd20_268.jpg
Saint Peter Martyr,Oil on panel,"Berruguete, Pedro",https://content3.cdnprado.net/imagenes/Documentos/imgsem/44/4480/4480a03b-f28d-4fc2-a7c6-f4507c2358d0/a0cf975b-b2c4-4224-9676-c371721fa580_268.jpg,1499,a0cf975b-b2c4-4224-9676-c371721fa580_268.jpg
Saint Dominic presiding over an Auto-da-fe,Oil on panel,"Berruguete, Pedro",https://content3.cdnprado.net/imagenes/Documentos/imgsem/55/5564/5564d7cb-621f-437b-b2e8-001728590173/b1f6ef5e-bcfb-43a7-8467-6a1e89b03980_268.jpg,1499,b1f6ef5e-bcfb-43a7-8467-6a1e89b03980_268.jpg
The Assumption and Coronation of the Virgin,Oil on panel,"Cruz, Diego de la (And Workshop)",https://content3.cdnprado.net/imagenes/Documentos/imgsem/6f/6f87/6f87e0a7-be90-4e29-ab8f-c1df511ffea7/9a28bc70-fb01-4cc1-9a74-44be5f2bd6ab_268.jpg,1497,9a28bc70-fb01-4cc1-9a74-44be5f2bd6ab_268.jpg
Saints Gregory the Great and Jerome,Oil on panel,"Berruguete, Pedro",https://content3.cdnprado.net/imagenes/Documentos/imgsem/53/5394/53947e4c-2a68-43c0-abd0-18284082cd23/9ad71b80-345a-4f0c-813d-2e04f90b98f0_268.jpg,1500,9ad71b80-345a-4f0c-813d-2e04f90b98f0_268.jpg
Saints Ambrose and Augustine,Oil on panel,"Berruguete, Pedro",https://content3.cdnprado.net/imagenes/Documentos/imgsem/cc/cc61/cc614489-75ba-4372-9ebb-31f3578ed0c8/dac8f005-7bf3-46db-996a-e5869eb04cb8_268.jpg,1500,dac8f005-7bf3-46db-996a-e5869eb04cb8_268.jpg
Christ shown to the People / The Virgin and Child,Oil on panel,Anonymous,https://content.cdnprado.net/imagenes/Documentos/imgsem/21/21a9/21a96aa1-fe93-4a26-a311-7d088b2fccd8/c0026c0d-1c11-4ef8-9ac2-4f3a1388e520_268.jpg,1500,c0026c0d-1c11-4ef8-9ac2-4f3a1388e520_268.jpg
